id,source_id,destination_id,timestamp,created_at,n_interpolation_points,step_distance_km,value
74,36,28,2025-02-06T08:14+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.09796880429755393
75,22,45,2025-02-03T21:11+00:00,2025-07-19T11:32:31+00:00,4,200.0,0.5
76,45,33,2025-02-04T03:51+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.1624650625806961
77,33,36,2025-02-04T06:48+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.04742587317756678
78,36,28,2025-02-04T08:09+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.04653047451473147
79,47,19,2025-01-27T20:53+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.009756665624551356
80,19,59,2025-01-28T00:30+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.008836400460607715
81,59,18,2025-01-28T03:40+00:00,2025-07-19T11:32:31+00:00,5,563.6990201145356,0.0731011734223782
82,18,10,2025-01-28T09:43+00:00,2025-07-19T11:32:31+00:00,2,1463.1842370643592,0.04393981539614132
83,10,24,2025-01-29T03:58+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.5
84,24,52,2025-01-29T07:53+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.0678622935769945
85,52,28,2025-01-29T08:30+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.04833762871990519
86,46,3,2025-02-06T14:09+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.401312339887548
87,3,43,2025-02-06T22:18+00:00,2025-07-19T11:32:31+00:00,5,912.2496435720398,0.5
88,43,57,2025-02-07T09:59+00:00,2025-07-19T11:32:31+00:00,5,552.2416099480349,0.08166025546159462
89,57,10,2025-02-07T10:00+00:00,2025-07-19T11:32:31+00:00,5,1316.5463320721803,0.09975048911968513
90,10,24,2025-02-08T00:45+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.5
91,24,52,2025-02-09T19:30+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.5
92,52,28,2025-02-10T08:27+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.5
93,29,45,2025-01-30T21:08+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.7190996574163839
94,45,33,2025-01-31T03:22+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.5
95,33,36,2025-01-31T06:06+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.03992533395281379
96,36,28,2025-01-31T08:19+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.027652422322823122
97,48,6,2025-02-10T14:55+00:00,2025-07-19T11:32:31+00:00,3,375.24088920059484,0.08317269649392235
98,6,20,2025-02-11T13:28+00:00,2025-07-19T11:32:31+00:00,5,2311.601859334368,0.27289178365887046
99,20,45,2025-02-13T01:30+00:00,2025-07-19T11:32:31+00:00,3,200.0,0.5
100,45,10,2025-02-13T04:48+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.5
101,10,45,2025-02-14T02:05+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.75
102,45,33,2025-02-17T01:11+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.3015347839974612
103,33,36,2025-02-17T05:11+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.03992533395281379
104,36,28,2025-02-17T06:14+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.03992533395281379
105,21,15,2025-01-31T21:01+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.03422415769239588
106,15,20,2025-01-31T22:00+00:00,2025-07-19T11:32:31+00:00,4,200.0,0.0731011734223782
107,20,60,2025-02-02T22:45+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.11920292202211755
108,60,14,2025-02-03T04:00+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.0678622935769945
109,14,28,2025-02-03T05:02+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.06913842034334682
110,6,26,2025-02-06T08:56+00:00,2025-07-19T11:32:31+00:00,5,2410.8977872717533,0.5
111,26,45,2025-02-06T21:53+00:00,2025-07-19T11:32:31+00:00,4,217.09706694528168,0.05732417589886873
112,45,33,2025-02-07T04:37+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.08017291217281233
113,33,36,2025-02-07T07:10+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.08017291217281233
114,36,28,2025-02-07T09:18+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.039165722796764356
115,12,19,2025-02-08T19:35+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.09112296101485612
116,19,18,2025-02-09T10:04+00:00,2025-07-19T11:32:31+00:00,5,562.3132630004995,0.75
117,18,10,2025-02-10T00:29+00:00,2025-07-19T11:32:31+00:00,2,1463.1842370643592,0.06416387640517393
118,10,24,2025-02-10T19:47+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.5
119,24,52,2025-02-12T01:47+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.5
120,52,28,2025-02-12T08:01+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.018342890697743287
121,9,6,2025-02-14T15:29+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.09279295311715698
122,6,55,2025-02-15T08:17+00:00,2025-07-19T11:32:31+00:00,5,2294.2721945653375,0.23147521650098232
123,55,45,2025-02-16T09:06+00:00,2025-07-19T11:32:31+00:00,3,200.0,0.17946151940732682
124,45,33,2025-02-17T00:11+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.289050497374996
125,33,36,2025-02-17T04:19+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.039165722796764356
126,36,28,2025-02-17T08:11+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.04742587317756678
127,28,15,2025-02-12T20:47+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.044787703049786715
128,15,20,2025-02-12T22:03+00:00,2025-07-19T11:32:31+00:00,4,200.0,0.04653047451473147
129,20,60,2025-02-13T02:43+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.06416387640517393
130,60,14,2025-02-13T04:17+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.018706509954354595
131,14,28,2025-02-13T04:40+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.018706509954354595
132,30,3,2025-02-21T12:43+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.13943387296165005
133,3,49,2025-02-21T22:27+00:00,2025-07-19T11:32:31+00:00,5,1975.454918476088,0.31002551887238755
134,49,10,2025-02-22T12:09+00:00,2025-07-19T11:32:31+00:00,4,564.6343845041857,0.75
135,10,24,2025-02-23T03:47+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.5
136,24,52,2025-02-24T07:44+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.023202938145644076
137,52,28,2025-02-24T08:50+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.018706509954354595
138,5,58,2025-02-21T04:02+00:00,2025-07-19T11:32:31+00:00,4,200.0,0.21755022357688744
139,58,10,2025-02-21T10:16+00:00,2025-07-19T11:32:31+00:00,2,1510.0402961062882,0.15976199694366905
140,10,24,2025-02-22T21:31+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.5
141,24,52,2025-02-24T07:51+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.023202938145644076
142,52,28,2025-02-25T13:12+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.5
143,9,6,2025-02-26T10:14+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.01798620996209156
144,6,35,2025-02-27T03:03+00:00,2025-07-19T11:32:31+00:00,4,1603.3385369061978,0.01598484834220258
145,35,56,2025-02-27T13:56+00:00,2025-07-19T11:32:31+00:00,2,970.655244763715,0.007103773724388775
146,56,33,2025-02-28T03:43+00:00,2025-07-19T11:32:31+00:00,4,200.0,0.039165722796764356
147,33,36,2025-02-28T06:15+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.5
148,36,28,2025-02-28T08:55+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.032295464698450495
